system:index,date,.geo
20220217T085315_20220217T093902,2022-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218T065315_20220218T074236,2022-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218T082815_20220218T091736,2022-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218T083315_20220218T092233,2022-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219T080815_20220219T085900,2022-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219T081315_20220219T090005,2022-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220T075315_20220220T084632,2022-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221T073400_20220221T082236,2022-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222T071056_20220222T081317,2022-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222T071556_20220222T081517,2022-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222T085556_20220222T095720,2022-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223T065657_20220223T075851,2022-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223T083657_20220223T094112,2022-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224T081657_20220224T092016,2022-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224T082157_20220224T092706,2022-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225T075657_20220225T090325,2022-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225T080157_20220225T090935,2022-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226T073657_20220226T084315,2022-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226T074157_20220226T084717,2022-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227T071657_20220227T081903,2022-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227T072157_20220227T082418,2022-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227T090157_20220227T100907,2022-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228T070157_20220228T080225,2022-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228T084157_20220228T094517,2022-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228T084657_20220228T095159,2022-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301T064657_20220301T074850,2022-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
